Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
what is on olive garden's menu,Informational,320,"1.00,0.68,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01",32,0.00,0.13,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, See results about",77900000
what is on the menu at olive garden,Informational,210,"1.00,0.16,0.05,0.06,0.03,0.06,0.05,0.05,0.10,0.06,0.06,0.05",50,1.06,0.14,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, See results about",79100000
what is the menu for olive garden,Informational,170,"1.00,0.06,0.01,0.00,0.01,0.01,0.04,0.01,0.01,0.02,0.03,0.01",52,0.95,0.21,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, See results about",141000000
what's the best thing on olive garden's menu,Commercial,170,"0.05,0.28,1.00,0.82,0.17,0.12,0.23,0.43,0.00,0.82,0.53,0.66",32,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, See results about",64000000
does olive garden have a gluten free menu,,140,"0.65,0.65,0.53,0.65,0.26,0.34,0.34,0.80,0.80,1.00,0.80,0.65",23,0.23,0.08,"Sitelinks, Image pack, Video, People also ask, Related searches",21100000
does olive garden have a lunch menu,"Informational, Transactional",140,"0.22,0.29,0.14,0.18,0.18,0.22,1.00,0.66,0.29,0.22,0.22,0.29",21,1.18,0.20,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Related searches",33800000
what is olive garden's menu,Informational,140,"1.00,0.08,0.02,0.02,0.02,0.03,0.00,0.01,0.08,0.03,0.03,0.02",32,1.06,0.14,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, See results about",45800000
does olive garden restaurant have a gluten free menu,Informational,110,"0.53,0.53,0.43,0.53,0.33,0.53,0.43,0.53,0.19,0.43,1.00,0.66",23,0.23,0.08,"Sitelinks, AI Overview, Video, People also ask, Related searches",8280000
does olive garden have a senior menu,Informational,70,"0.42,0.33,0.52,1.00,0.42,0.19,0.33,0.19,0.33,0.19,0.33,0.23",17,0.51,0.06,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",78
does olive garden have a gluten-free menu,Informational,50,"0.63,0.81,0.81,0.81,1.00,0.18,0.18,0.45,0.00,0.09,1.00,0.00",26,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",32700000
